date,indice,value
1979-02-09,00471X0095,62.84
1979-02-16,00471X0095,63.13
1979-02-23,00471X0095,63.35
1979-03-02,00471X0095,63.58
1979-03-09,00471X0095,63.81
1979-03-16,00471X0095,64.11
1979-03-23,00471X0095,64.57
1979-03-30,00471X0095,65.03
1979-04-06,00471X0095,65.39
1979-04-13,00471X0095,65.78
1979-04-20,00471X0095,66.13
1979-04-27,00471X0095,66.29
1979-05-04,00471X0095,66.51
1979-05-11,00471X0095,66.69
1979-05-18,00471X0095,66.79
1979-05-25,00471X0095,66.84
1979-06-01,00471X0095,66.88
1979-06-08,00471X0095,66.89
1979-06-15,00471X0095,66.93
1979-06-22,00471X0095,66.88
1979-06-29,00471X0095,66.82
1979-07-06,00471X0095,66.72
1979-07-13,00471X0095,66.57
1979-07-20,00471X0095,66.47
1979-07-27,00471X0095,66.33
1979-08-03,00471X0095,66.17
1979-08-10,00471X0095,66.02
1979-08-17,00471X0095,65.87
1979-08-24,00471X0095,65.72
1979-08-31,00471X0095,65.56
1979-09-07,00471X0095,65.42
1979-09-14,00471X0095,65.18
1979-09-28,00471X0095,64.84
1979-10-05,00471X0095,64.69
1979-10-12,00471X0095,64.54
1979-10-19,00471X0095,64.40
1979-10-26,00471X0095,64.21
1979-11-02,00471X0095,64.07
1979-11-09,00471X0095,63.98
1979-11-16,00471X0095,63.91
1979-11-23,00471X0095,63.82
1979-11-30,00471X0095,63.81
1979-12-07,00471X0095,63.78
1979-12-14,00471X0095,63.80
1979-12-21,00471X0095,63.93
1979-12-28,00471X0095,64.08
1980-01-04,00471X0095,64.28
1980-01-11,00471X0095,64.48
1980-01-18,00471X0095,64.78
1980-01-25,00471X0095,64.98
1980-02-01,00471X0095,65.29
1980-02-08,00471X0095,65.64
1980-02-15,00471X0095,66.19
1980-02-22,00471X0095,66.71
1980-02-29,00471X0095,67.06
1980-03-07,00471X0095,67.35
1980-03-14,00471X0095,67.53
1980-03-21,00471X0095,67.79
1980-03-28,00471X0095,67.96
1980-04-04,00471X0095,68.07
1980-04-11,00471X0095,68.21
1980-04-18,00471X0095,68.34
1980-04-25,00471X0095,68.47
1980-05-02,00471X0095,68.56
1980-05-09,00471X0095,68.59
1980-05-16,00471X0095,68.64
1980-05-23,00471X0095,68.62
1980-05-30,00471X0095,68.58
